# What the reference Basis transcoder produces, one line per image.
#
# Baked by tools/basis-cpp-oracle, which vendors the reference at the
# revision draco-texture was ported from and builds it in the profile a
# browser gets. Checked by crates/draco-texture/tests/ktx2_goldens.rs,
# which needs neither that compiler nor a browser.
#
# fixture	level	target	bytes	sha256
facecap.ktx2	0	rgba8	4194304	acce9b8ddb6436a72b9596252457f8b2086599d6c565dce03fa0f4dda997b707
facecap.ktx2	0	bc1	524288	00c7e55f4dfb207197b65cb9afa65638f9ac9be9eab572de83914e313d3f43ab
facecap.ktx2	0	bc3	1048576	136ad58091c9912b7b527bee13ef6b68c661b02049cc6940f613084b558528b3
facecap.ktx2	0	etc1	524288	df7303520cfccb4a26f7c492f7fdd79409eff73b251243f688b4204791bb8bf2
facecap.ktx2	0	etc2	1048576	8f75c83a769b798b48c1982469c4c1c7cf40c0850aab3b0f711c533715393bbc
facecap.ktx2	0	astc	1048576	d2de662e0822cf40ffe2440f2117e1816e885f4d0fdc26b3bb564c2752eb9a24
facecap.ktx2	1	rgba8	1048576	83b7e636519c364ea5dbe19114333a24e9699de585ea7501d1c72e158a29b848
facecap.ktx2	1	bc1	131072	173096b79e4abced98fe82d8f21b67c1d242633d188324996fea274cf9f56089
facecap.ktx2	1	bc3	262144	b00f8147d074228ab6e00106bdb195dfb01e9677fe2a431ef3ca458b445d9910
facecap.ktx2	1	etc1	131072	fc9e28676c79f8b91a1a59b82d7a62ede3f9bd601043b50b58362eebb3519afa
facecap.ktx2	1	etc2	262144	0c9fc4416bad86a38d39e2d4bcb95cbcef5c922c151b728ff8a5b2e724047a1f
facecap.ktx2	1	astc	262144	f2e7e96d2b24adf519fc756d99fe79119a9ba081348a4a96b1a69d300e0046fa
facecap.ktx2	2	rgba8	262144	d2fcdc619d6d03d3e86baaf7ab31c56085c5c2f4ff47d6c00aac2539a962c12a
facecap.ktx2	2	bc1	32768	bf1010162306ed550480ecee02dd5f4ee918555e826c61c1396fed92b03e3cd1
facecap.ktx2	2	bc3	65536	f02464c0cbc8f17c97498aee3326c02cf6aed9b20f81bc7abaa547f27cc5074a
facecap.ktx2	2	etc1	32768	8c7e1036930d6329c929b25b3eec9e35f06fbce78d599fced072c7dc7b5315b9
facecap.ktx2	2	etc2	65536	55e43b652c777c0a931e5cad4c8c198d18a4fab2880a4bf86fea81ccfac0f2e1
facecap.ktx2	2	astc	65536	bc0ad300276df93212013c923b8671bfc83e9b4d4810a4777f889e3afe45d79e
facecap.ktx2	3	rgba8	65536	609695a333ab8d62748947c9bd8c2b6630ea75663d93bd36244b0f2de7a579b9
facecap.ktx2	3	bc1	8192	afe9f38bec079a6ce042b860a150964550dfde65678a10b90420068114a8b647
facecap.ktx2	3	bc3	16384	a6d58cc5c146c0d2790b8dcd9ce2eade7375a2e1a13aaa3c3fa6151673c7eaa0
facecap.ktx2	3	etc1	8192	c36f12c18e2686a3de42aa82b71c31f03a7274ffc3c34ceddf3ae63e2dbaf5cc
facecap.ktx2	3	etc2	16384	cf01cb00f2a4f2cf51afc0f294ba71af4a0dc01e4c294eaa6d9b2c93d6d6b065
facecap.ktx2	3	astc	16384	4c6492db76d627f428c6b6b758f28abb2efe90acbff657e653fa118a97f20387
facecap.ktx2	4	rgba8	16384	90c7d17b8ff20a287c8e9bea7fad703d27e7d20e65fffe4e5140706043efe928
facecap.ktx2	4	bc1	2048	32dfd725b4548e89bdc0a91f513c769f94e4454fe2b9508754fc06419c333f2b
facecap.ktx2	4	bc3	4096	5fc90ab3357b1b13aa89b9f2ef18f30830fda59c4327c3a0e8c76cdf06cb96e7
facecap.ktx2	4	etc1	2048	12218aa54866ee65889a7a9b5ad4373fef895e9f9134e5425afa89eb79f737e6
facecap.ktx2	4	etc2	4096	2a616a541c008fcbb9f6e7f52aa2dc0e61e9c52d683d8a51e8baa5b0d5a2bf74
facecap.ktx2	4	astc	4096	02e0a27ea99a3c0d3fe866c86095feb1f4da05b03c9d33e1ea64c6c2a59881a4
facecap.ktx2	5	rgba8	4096	550a2ed4519d4bd04e3b13e833d73c77db8fc49ceca51048a035bfaf514a2db0
facecap.ktx2	5	bc1	512	9416fc47111f02e135aef79ab0391819e48f941d9c17ffe63dcb54a89a33ecfd
facecap.ktx2	5	bc3	1024	9c493ec2d57bf20a0fcc4f753232346c5e7b704bf7e1ff8f718f89fcc24259fc
facecap.ktx2	5	etc1	512	3904964aa32f808dac60d43e772bd33781b4d485f357c033e53c2aee0b4634ef
facecap.ktx2	5	etc2	1024	4da528052cc7cbeb2dde956363e7e4d383f52862024ea845037a053b7f1ff7a9
facecap.ktx2	5	astc	1024	734275964aae69e543c2bec5dc0aee16be237c939bd344be3a679de09550040b
facecap.ktx2	6	rgba8	1024	20cfdd082a11194c0714d5d4aa58f5cb84f10fd710e8a9e0e114bb99b87e832d
facecap.ktx2	6	bc1	128	044546b630ac88dc214f68f4d235cc9a1c0f1e138b222dd4767a12fa2ef32d13
facecap.ktx2	6	bc3	256	63002698814aece0724b60b59c89166aa6c423a1a89c551d71f256bfe4cad0c6
facecap.ktx2	6	etc1	128	bdb4cc3f7fb97059bda7cab13028a8f9cc842284c1cb9aeea401ef2a006b94cb
facecap.ktx2	6	etc2	256	1e2cd176bed7012cce97e2792b11e869b63b983cdd8c230a71816ee2942797d6
facecap.ktx2	6	astc	256	6f6ae65890ba4a741cf08b7a158662593d3d29aff89d55d3fb3c2984880b1d02
facecap.ktx2	7	rgba8	256	7aba2b6fea92a31f885ca0fd3c05e25f462a8968eec8ffa2fa014a17cd414cd5
facecap.ktx2	7	bc1	32	3e6abaa0d874fa68ee85cb207ce28bf79a08c3b0237d89882261dc6ffb3177c0
facecap.ktx2	7	bc3	64	f9383d918988e9e90d321ca96425c60aae5794d12801a99867aa35870b4109f2
facecap.ktx2	7	etc1	32	564d8e72bd97f146590f7728f23b29b117a3e62131e3231c842319ba1494bc07
facecap.ktx2	7	etc2	64	60af573aa653c3b477acdc3ae88cb6882d343fc243bcbf4f37c8c558cccdbe0c
facecap.ktx2	7	astc	64	7b9612feb2de5cf3e08ba929db93e2e41d6044a4c3d5c52df181307b4584900a
facecap.ktx2	8	rgba8	64	f40bc4834f5acc5984c2d4d1b9c551e0ee99e02f145d44e70fb0624ef4029b38
facecap.ktx2	8	bc1	8	757ac60529a944d5cdaadab84c95a74bece2531885cf45ebf03fea39579d2065
facecap.ktx2	8	bc3	16	7c74e2612408d1b9fcda9bbb2995ebe75b6289bb888b0bd3adb43d87e8c1f54c
facecap.ktx2	8	etc1	8	3f676cb3fc223189e4eb81f65668b4eb9f0fa511cec0357833ced282ad5ccb88
facecap.ktx2	8	etc2	16	2f00ad4036ce865e04553b584f4c1b2e9e227f30c8f8ad0f502d6e34064db4af
facecap.ktx2	8	astc	16	80f2ffca092d5149549c8065896fce9794e76fa42ec0039548275b6a043b40a2
facecap.ktx2	9	rgba8	16	e3877477c78f48ac0d16ced0be4ddbe04382681fcaeadb603d943cc99c5f8ba0
facecap.ktx2	9	bc1	8	d0fb1ff941024a8004a71c1968ae91efb131737a98e5809baca36445a5257702
facecap.ktx2	9	bc3	16	30b24a6eb4e85221796706b386e2f41487bee6255ac46aed2a99cac7ac8e06a3
facecap.ktx2	9	etc1	8	5728c28b5bd20964545e14ad5f350b0065fdb469db281614b852dcda3c6d6ac5
facecap.ktx2	9	etc2	16	b552a5c2c63ec255ffec15e98654dc780e23452d1fb3f4862e72af5e7bc40f70
facecap.ktx2	9	astc	16	7de5d7ca3175a45774f2a90244758845f8503c8e7e69137f023b865cad8c51eb
facecap.ktx2	10	rgba8	4	e5f505f9bb82a1d72b8fbb776b37a22dc603fb38180187ec1e1ea5c933dae37e
facecap.ktx2	10	bc1	8	03794ba044c31f1e88babafc19fe576d8c51e75fc5040289a68ddedf6e37c8e9
facecap.ktx2	10	bc3	16	2bb1a45c1856f3e90ce97e5ac0b447b6325a33f56a9e8ab5708f37ca029b4070
facecap.ktx2	10	etc1	8	54fb2bc2a1781461720908d8c93ec8b725b7a85c0c98b433c32daf19994976af
facecap.ktx2	10	etc2	16	278925511eeb0539ca1c477de82668c3b990173cfcd662c827480e301362a29e
facecap.ktx2	10	astc	16	7b1ec880c6b056bd40fafa43591ea61dde315cdc19f8ede658125be415140dd6
2d_etc1s.ktx2	0	rgba8	1048576	af7dae49b720d6f95b5cb5fb6e1a8f933706ee1b5b5efad1bcfd1ce565d46643
2d_etc1s.ktx2	0	bc1	131072	6e648ddc6b17c32612b3daf66eda4b0af1c0da1a5d1675355326c4dec39ba07d
2d_etc1s.ktx2	0	bc3	262144	af64857d47fb481f81ad5060c8a9ed23248ee0c49a1c70994684a4578347e003
2d_etc1s.ktx2	0	etc1	131072	0d24eb4276b6754a6ae210dcdf7bcc0e63d3ca47ce3840581b09d94dbfa1cdc1
2d_etc1s.ktx2	0	etc2	262144	82938a5794cf7225104b044d68c64cbbfafaeb5e9cbc3b353780bde358d4cded
2d_etc1s.ktx2	0	astc	262144	f006e42f2f12f21329b06642b5c5877a3f919609fda392f4ccfdd53e7235e208
2d_etc1s.ktx2	1	rgba8	262144	d4ade8caabe78c313bcd01e1b85cdad3a4f0ba958bd3cbe004df793ae8db520c
2d_etc1s.ktx2	1	bc1	32768	1351720b8b39cf5f51a54ea2c3222afdb1fa5a9bf97e46716000c568f1883c53
2d_etc1s.ktx2	1	bc3	65536	06f1ad9bc7c95ef41e068da44f71fc077eed256f689dbbd6af338c3e0b767e95
2d_etc1s.ktx2	1	etc1	32768	b367028ed7ea06298226f8d88b6243acdefcc597df0a34a46bbdbc2c37595b5d
